spot_id,spot_sector_id,spot_type_id,spot_settlement,spot_municipality,spot_state,spot_region,spot_corridor,spot_latitude,spot_longitude,spot_area_in_sqm,spot_price_sqm_mxn_rent,spot_price_total_mxn_rent,spot_price_sqm_mxn_sale,spot_price_total_mxn_sale,spot_modality,uuiid,spot_created_date
23202,11,2,MERCED GOMEZ,Álvaro Obregón,Ciudad de México,Center,Periférico Sur,19.365486,-99.191216,14014,415,5815810,66000,924924000,Rent & Sale,8463,2024-02-21
20784,11,2,SAN JOSE INSURGENTES,Benito Juárez,Ciudad de México,Center,Insurgentes,19.3653322,-99.1820532,4087,,,81250,332068750,Sale,8463,2024-01-26
26837,11,2,SAN JOSE INSURGENTES,Benito Juárez,Ciudad de México,Center,Insurgentes,19.3650999,-99.1820965,10000,340,3400000,,,Rent,6805,2024-04-16
28205,13,1,LOMAS DE SANTA FE,Álvaro Obregón,Ciudad de México,Center,Santa Fe,19.36509682,-99.26226741,527,328.7001898,173225,,,Rent,931,2024-07-11
22958,13,1,LOMAS DE SANTA FE,Álvaro Obregón,Ciudad de México,Center,Santa Fe,19.3650713,-99.2639474,182,439.5604396,80000,,,Rent,2406,2024-02-19
23096,11,2,SAN JOSE INSURGENTES,Benito Juárez,Ciudad de México,Center,Insurgentes,19.365067,-99.182064,378,330,124740,,,Rent,13686,2024-02-21
28212,13,1,LOMAS DE SANTA FE,Álvaro Obregón,Ciudad de México,Center,Santa Fe,19.3650268,-99.26219098,703,480.7965861,338000,,,Rent,931,2024-07-11
29466,9,1,TECAMACHALCO,La Paz,México,Center,,19.36486204,-98.96153407,5025,,,9353.233831,47000000,Sale,17331,2024-09-04
23207,11,2,LOMAS DE SANTA FE,Álvaro Obregón,Ciudad de México,Center,Santa Fe,19.36484489,-99.2639875,3500,387.65426,1356789.91,,,Rent,8463,2024-02-21
28466,11,1,CREDITO CONSTRUCTOR,Benito Juárez,Ciudad de México,Center,Insurgentes,19.3644349,-99.1803749,120,,,291.6666667,35000,Sale,15932,2024-07-19
28518,15,1,PORTALES ORIENTE,Benito Juárez,Ciudad de México,Center,,19.364426,-99.1421432,349,,,63037.24928,22000000,Sale,15509,2024-07-22
28756,13,1,STA CRUZ ATOYAC,Benito Juárez,Ciudad de México,Center,,19.3642961,-99.1612787,45,,,64444.44444,2900000,Sale,931,2024-08-06
